period,avg_afi,median_afi,districts_reporting
2025-01,61.446667830291645,66.03465260745699,888
2025-02,29.714580742050533,30.87214354235232,858
2025-03,25.130957725369548,25.87578945671841,854
2025-04,17.04090074069718,16.82966611206201,852
2025-05,13.57751670595214,12.026919149379038,767
2025-06,17.063758632500665,17.048833882702645,827
2025-07,11.259011419734637,8.74147895412456,614
2025-08,17.59408611244847,17.29734763657223,865
2025-09,20.52268139461642,21.2501461015315,863
2025-10,18.461758496763576,18.55105963552688,856
2025-11,19.977115397359057,20.2707473515868,851
2025-12,18.935637663731015,19.028846229753537,855
NaT,18.141024138423187,17.557249474464903,920
