state,district,period,AFI
Himachal Pradesh,Sirmaur,2025-01,100.0
Haryana,Panchkula,2025-01,80.31566344701892
Punjab,Shaheed Bhagat Singh Nagar,2025-01,78.4575393019296
Punjab,Jalandhar,2025-01,78.12966388692527
Punjab,Rupnagar,2025-01,76.267156300493
Madhya Pradesh,Anuppur,2025-01,75.50513255898682
Delhi,North East,2025-01,75.25015250368223
Himachal Pradesh,Solan,2025-01,75.12320394268292
Andhra Pradesh,Ananthapur,2025-01,74.9934216594887
Himachal Pradesh,Shimla,2025-01,74.40097216481725
Madhya Pradesh,Rajgarh,2025-01,74.35606349457356
Andhra Pradesh,Ananthapuramu,2025-01,74.22661545089234
Tamil Nadu,Ariyalur,2025-01,74.12004723728657
Mizoram,Aizawl,2025-01,74.11919720602206
Madhya Pradesh,Tikamgarh,2025-01,73.93526775464646
Himachal Pradesh,Chamba,2025-01,73.90863808739121
Punjab,Barnala,2025-01,73.85708753506445
Nagaland,Longleng,2025-01,73.83498480118193
Arunachal Pradesh,Namsai,2025-01,73.79448865809546
Madhya Pradesh,Shajapur,2025-01,73.53523564456667
Jharkhand,Purbi Singhbhum,2025-01,73.39759440544816
Karnataka,Bangalore,2025-01,73.27693616239279
Maharashtra,Wardha,2025-01,73.08476026796447
Andhra Pradesh,Vizianagaram,2025-01,72.91714944991463
Chhattisgarh,Kondagaon,2025-01,72.85617457133242
Jammu And Kashmir,Kishtwar,2025-01,72.8488944454048
Tamil Nadu,Thoothukkudi,2025-01,72.82384188202526
Himachal Pradesh,Mandi,2025-01,72.74008695815606
Uttarakhand,Bageshwar,2025-01,72.65915314501763
Jammu And Kashmir,Doda,2025-01,72.6461905148563
Madhya Pradesh,Burhanpur,2025-01,72.620807457134
Madhya Pradesh,Sehore,2025-01,72.50063378110401
Madhya Pradesh,Hoshangabad,2025-01,72.4171907942699
Goa,South Goa,2025-01,72.38364904343763
Tamil Nadu,Perambalur,2025-01,72.36073370681208
Chhattisgarh,Dantewada,2025-01,72.3396683271248
Himachal Pradesh,Bilaspur,2025-01,72.30631733100304
Tamil Nadu,Villupuram,2025-01,72.24196302195173
Madhya Pradesh,Sidhi,2025-01,72.2206246846626
Punjab,Kapurthala,2025-01,72.21950389072201
Andhra Pradesh,Visakhapatnam,2025-01,72.21867772171956
Andhra Pradesh,Nellore,2025-01,72.16573405726828
Madhya Pradesh,Damoh,2025-01,72.14908488258429
Andhra Pradesh,Krishna,2025-01,72.10485117708252
Andhra Pradesh,East Godavari,2025-01,72.06832546218124
Tripura,North Tripura,2025-01,72.03176763706027
Tamil Nadu,Dindigul,2025-01,71.97702099186688
Punjab,Sri Muktsar Sahib,2025-01,71.94746049893935
Uttarakhand,Almora,2025-01,71.88643052367
Haryana,Bhiwani,2025-01,71.88524513006442
Tripura,Khowai,2025-01,71.88395869687352
Madhya Pradesh,Rewa,2025-01,71.85509053826546
Madhya Pradesh,Khandwa,2025-01,71.82603470835873
Jammu And Kashmir,Rajouri,2025-01,71.80958347936154
Punjab,Faridkot,2025-01,71.80825847852454
Madhya Pradesh,Guna,2025-01,71.79687348277376
Himachal Pradesh,Una,2025-01,71.74542485145963
Tripura,Dhalai,2025-01,71.73429683246859
Madhya Pradesh,Shivpuri,2025-01,71.69935476196508
Tamil Nadu,Tiruchirappalli,2025-01,71.68392774752618
Jharkhand,Simdega,2025-01,71.68356117882381
Andhra Pradesh,Cuddapah,2025-01,71.60389385804433
Odisha,Cuttack,2025-01,71.59519987545816
Punjab,Tarn Taran,2025-01,71.58582063621047
Madhya Pradesh,East Nimar,2025-01,71.56788142968348
Maharashtra,Ratnagiri,2025-01,71.5504192545717
Madhya Pradesh,Khargone,2025-01,71.5442607062982
Odisha,Khorda,2025-01,71.54341713537728
Andhra Pradesh,Kurnool,2025-01,71.49766037742839
Haryana,Sirsa,2025-01,71.48959062993602
Nagaland,Wokha,2025-01,71.45219496742774
Himachal Pradesh,Hamirpur,2025-01,71.4481806607703
Uttarakhand,Rudraprayag,2025-01,71.37812765089055
Madhya Pradesh,Panna,2025-01,71.34672065128689
Himachal Pradesh,Kangra,2025-01,71.3401319968752
Tamil Nadu,Theni,2025-01,71.2613171699172
Madhya Pradesh,Mandsaur,2025-01,71.25662483989568
Madhya Pradesh,Singrauli,2025-01,71.24111393957119
Tamil Nadu,Tiruvannamalai,2025-01,71.11106091239901
Punjab,Sangrur,2025-01,71.10656781742173
Chhattisgarh,Bemetara,2025-01,71.1035057290529
Andhra Pradesh,Guntur,2025-01,71.10218602763901
Nagaland,Mon,2025-01,71.09712694182006
Tamil Nadu,Thanjavur,2025-01,71.08999160478803
Gujarat,Bhavnagar,2025-01,71.07051484754695
Chhattisgarh,Balod,2025-01,71.05939905681244
Madhya Pradesh,Betul,2025-01,71.05436384249026
Chhattisgarh,Dakshin Bastar Dantewada,2025-01,71.03257707994584
Punjab,Bathinda,2025-01,71.02392280619429
Karnataka,Tumkur,2025-01,71.00055191998767
Jharkhand,Seraikela-Kharsawan,2025-01,70.98970181077038
Punjab,Moga,2025-01,70.97202594776826
Andhra Pradesh,West Godavari,2025-01,70.96230995621144
Gujarat,Chhotaudepur,2025-01,70.94926028642833
Karnataka,Davangere,2025-01,70.92709790517019
Jharkhand,West Singhbhum,2025-01,70.92215238208969
Madhya Pradesh,Raisen,2025-01,70.88375206001504
Orissa,Balangir,2025-01,70.86976993621556
Madhya Pradesh,Ratlam,2025-01,70.8681953021473
Andhra Pradesh,Srikakulam,2025-01,70.83812782645145
